OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2
1,250,VNM,Vietnam,1,Da Nang,1,C<U+1EA9>m L<U+1EC7>,Quan,Urban District,NA,Cam Le
2,250,VNM,Vietnam,1,Da Nang,2,Hải Châu,Huy<U+1EC7>n,District,NA,Hai Chau
3,250,VNM,Vietnam,1,Da Nang,3,Hoà Vang,Huy<U+1EC7>n,District,NA,Hoa Vang
4,250,VNM,Vietnam,1,Da Nang,4,Liên Chi<U+1EC3>u,Huy<U+1EC7>n,District,NA,Lien Chieu
5,250,VNM,Vietnam,1,Da Nang,5,Ngu Hành Son,Huy<U+1EC7>n,District,NA,Ngu Hanh Son
6,250,VNM,Vietnam,1,Da Nang,6,Son Trà,Huy<U+1EC7>n,District,NA,Son Tra
7,250,VNM,Vietnam,1,Da Nang,7,Thanh Khê,Huy<U+1EC7>n,District,NA,Thanh Khe
8,250,VNM,Vietnam,2,Dong Nai,8,Ðịnh Quán,Huy<U+1EC7>n,District,NA,Dinh Quan
9,250,VNM,Vietnam,2,Dong Nai,9,Bien Hoa,Than Pho,City,NA,Bien Hoa
10,250,VNM,Vietnam,2,Dong Nai,10,C<U+1EA9>m M<U+1EF9>,Huy<U+1EC7>n,District,NA,NA
11,250,VNM,Vietnam,2,Dong Nai,11,Long Khánh,Huy<U+1EC7>n,District,NA,Long Khanh
12,250,VNM,Vietnam,2,Dong Nai,12,Long Thành,Huy<U+1EC7>n,District,NA,Long Thanh
13,250,VNM,Vietnam,2,Dong Nai,13,Nhon Tr<U+1EA1>ch,Huy<U+1EC7>n,District,NA,Nhon Trach
14,250,VNM,Vietnam,2,Dong Nai,14,Tân Phú,Huy<U+1EC7>n,District,NA,Tan Phu
15,250,VNM,Vietnam,2,Dong Nai,15,Th<U+1ED1>ng Nh<U+1EA5>t,Huy<U+1EC7>n,District,NA,Thong Nhat
16,250,VNM,Vietnam,2,Dong Nai,16,Trảng Bom,Huy<U+1EC7>n,District,NA,Trang Bom
17,250,VNM,Vietnam,2,Dong Nai,17,Vinh C<U+1EED>u,Huy<U+1EC7>n,District,NA,Vinh Cuu
18,250,VNM,Vietnam,2,Dong Nai,18,Xuân L<U+1ED9>c,Huy<U+1EC7>n,District,NA,Xuan Loc
19,250,VNM,Vietnam,3,Dong Thap,19,Cao Lãnh,Huy<U+1EC7>n,District,NA,Cao Lanh
20,250,VNM,Vietnam,3,Dong Thap,20,Cao Lanh,Huy<U+1EC7>n,District,NA,NA
21,250,VNM,Vietnam,3,Dong Thap,21,Châu Thành,Huy<U+1EC7>n,District,NA,Chau Thanh
22,250,VNM,Vietnam,3,Dong Thap,22,H<U+1ED3>ng Ng<U+1EF1>,Huy<U+1EC7>n,District,NA,Hong Ngu
23,250,VNM,Vietnam,3,Dong Thap,23,Lai Vung,Huy<U+1EC7>n,District,NA,Lai Vung
24,250,VNM,Vietnam,3,Dong Thap,24,L<U+1EA5>p Vò,Huy<U+1EC7>n,District,NA,Lap Vo
25,250,VNM,Vietnam,3,Dong Thap,25,Sa Ðéc,Thi xa,Township,NA,Sa Dec
26,250,VNM,Vietnam,3,Dong Thap,26,Tân H<U+1ED3>ng,Huy<U+1EC7>n,District,NA,Tan Hong
27,250,VNM,Vietnam,3,Dong Thap,27,Tam Nông,Huy<U+1EC7>n,District,NA,Tam Nong
28,250,VNM,Vietnam,3,Dong Thap,28,Tháp Mu<U+1EDD>i,Huy<U+1EC7>n,District,NA,Thap Muoi
29,250,VNM,Vietnam,3,Dong Thap,29,Thanh Bình,Huy<U+1EC7>n,District,NA,Thanh Binh
30,250,VNM,Vietnam,4,Dak Nong,30,Ðak Glong,Huy<U+1EC7>n,District,NA,NA
31,250,VNM,Vietnam,4,Dak Nong,31,Ðak Mil,Huy<U+1EC7>n,District,NA,Dak Mil
32,250,VNM,Vietnam,4,Dak Nong,32,Ðak R'L<U+1EA5>p,Huy<U+1EC7>n,District,NA,Dak Rlap
33,250,VNM,Vietnam,4,Dak Nong,33,Cu Jút,Huy<U+1EC7>n,District,NA,Cu Jut
34,250,VNM,Vietnam,4,Dak Nong,34,Dak Song,Huy<U+1EC7>n,District,NA,NA
35,250,VNM,Vietnam,4,Dak Nong,35,Krông Nô,Huy<U+1EC7>n,District,NA,Krong No
36,250,VNM,Vietnam,4,Dak Nong,36,Tuy Ð<U+1EE9>c,Huy<U+1EC7>n,District,NA,NA
37,250,VNM,Vietnam,5,Dak Lak,37,Buôn Ðôn,Huy<U+1EC7>n,District,NA,Buon Don
38,250,VNM,Vietnam,5,Dak Lak,38,Buon Ma Thuot,Than Pho,City,NA,Buon Ma Thuot
39,250,VNM,Vietnam,5,Dak Lak,39,Cu M'gar,Huy<U+1EC7>n,District,NA,Cu M'gar
40,250,VNM,Vietnam,5,Dak Lak,40,Ea H'leo,Huy<U+1EC7>n,District,NA,Ea H'leo
41,250,VNM,Vietnam,5,Dak Lak,41,Ea Kar,Huy<U+1EC7>n,District,NA,Ea Kar
42,250,VNM,Vietnam,5,Dak Lak,42,Ea Súp,Huy<U+1EC7>n,District,NA,Ea Sup
43,250,VNM,Vietnam,5,Dak Lak,43,Krông Ana,Huy<U+1EC7>n,District,NA,Krong Ana
44,250,VNM,Vietnam,5,Dak Lak,44,Krông Bông,Huy<U+1EC7>n,District,NA,Krong Bong
45,250,VNM,Vietnam,5,Dak Lak,45,Krông Buk,Huy<U+1EC7>n,District,NA,Krong Buk
46,250,VNM,Vietnam,5,Dak Lak,46,Krông Nang,Huy<U+1EC7>n,District,NA,Krong Nang
47,250,VNM,Vietnam,5,Dak Lak,47,Krông P<U+1EAF>k,Huy<U+1EC7>n,District,NA,Krong Pac |Krong Pak
48,250,VNM,Vietnam,5,Dak Lak,48,Lak,Huy<U+1EC7>n,District,NA,Lak
49,250,VNM,Vietnam,5,Dak Lak,49,M'Ðrak,Huy<U+1EC7>n,District,NA,M'Drak
50,250,VNM,Vietnam,6,Dien Bien,50,Ði<U+1EC7>n Biên Ðông,Huy<U+1EC7>n,District,NA,Dien Bien Dong
51,250,VNM,Vietnam,6,Dien Bien,51,Ði<U+1EC7>n Biên,Huy<U+1EC7>n,District,NA,Dien Bien
52,250,VNM,Vietnam,6,Dien Bien,52,Ðiên Biên Ph<U+1EE7>,Than Pho,City,NA,Dien Bien Phu
53,250,VNM,Vietnam,6,Dien Bien,53,Mu<U+1EDD>ng Chà,Huy<U+1EC7>n,District,NA,Muong Cha
54,250,VNM,Vietnam,6,Dien Bien,54,Mu<U+1EDD>ng Lay,Thi xa,Township,NA,Muong Lay
55,250,VNM,Vietnam,6,Dien Bien,55,Mu<U+1EDD>ng Nhé,Huy<U+1EC7>n,District,NA,My Tho
56,250,VNM,Vietnam,6,Dien Bien,56,T<U+1EE7>a Chùa,Huy<U+1EC7>n,District,NA,Tua Chua
57,250,VNM,Vietnam,6,Dien Bien,57,Tu<U+1EA7>n Giáo,Huy<U+1EC7>n,District,NA,Tuan Giao
58,250,VNM,Vietnam,7,An Giang,58,An Phú,Huy<U+1EC7>n,District,NA,An Phu
59,250,VNM,Vietnam,7,An Giang,59,Châu Phú,Huy<U+1EC7>n,District,NA,Chau Phu
60,250,VNM,Vietnam,7,An Giang,60,Châu Thành,Huy<U+1EC7>n,District,NA,Chau Thanh
61,250,VNM,Vietnam,7,An Giang,61,Ch<U+1EE3> M<U+1EDB>i,Huy<U+1EC7>n,District,NA,Cho Moi
62,250,VNM,Vietnam,7,An Giang,62,Chau Doc,Thi xa,Township,NA,NA
63,250,VNM,Vietnam,7,An Giang,63,Long Xuyen Township,Than Pho,City,NA,Long Xuyen
64,250,VNM,Vietnam,7,An Giang,64,Phú Tân,Huy<U+1EC7>n,District,NA,Phu Tan
65,250,VNM,Vietnam,7,An Giang,65,Tân Châu,Huy<U+1EC7>n,District,NA,Tan Chau
66,250,VNM,Vietnam,7,An Giang,66,Tịnh Biên,Huy<U+1EC7>n,District,NA,Tinh Bien
67,250,VNM,Vietnam,7,An Giang,67,Tho<U+1EA1>i Son,Huy<U+1EC7>n,District,NA,Thoai Son
68,250,VNM,Vietnam,7,An Giang,68,Tri Tôn,Huy<U+1EC7>n,District,NA,Tri Ton
69,250,VNM,Vietnam,8,Ba Ria - Vung Tau,69,Ð<U+1EA5>t Ð<U+1ECF>,Huy<U+1EC7>n,District,NA,Dat Do
70,250,VNM,Vietnam,8,Ba Ria - Vung Tau,70,Ba Ria,Thi xa,Township,NA,Ba Ria
71,250,VNM,Vietnam,8,Ba Ria - Vung Tau,71,Côn Ðảo,Huy<U+1EC7>n,District,NA,Con Dao
72,250,VNM,Vietnam,8,Ba Ria - Vung Tau,72,Châu Ð<U+1EE9>c,Huy<U+1EC7>n,District,NA,Chau Duc
73,250,VNM,Vietnam,8,Ba Ria - Vung Tau,73,Long Ði<U+1EC1>n,Huy<U+1EC7>n,District,NA,Long Dien
74,250,VNM,Vietnam,8,Ba Ria - Vung Tau,74,Tân Thành,Huy<U+1EC7>n,District,NA,Tan Thanh
75,250,VNM,Vietnam,8,Ba Ria - Vung Tau,75,Vung Tàu,Huy<U+1EC7>n,District,NA,Vung Tau
76,250,VNM,Vietnam,8,Ba Ria - Vung Tau,76,Xuyên M<U+1ED9>c,Huy<U+1EC7>n,District,NA,Xuyen Moc
77,250,VNM,Vietnam,9,Binh Ðinh,77,An Lão,Huy<U+1EC7>n,District,NA,An Lao
78,250,VNM,Vietnam,9,Binh Ðinh,78,An Nhon,Huy<U+1EC7>n,District,NA,An Nhon
79,250,VNM,Vietnam,9,Binh Ðinh,79,Hoài Ân,Huy<U+1EC7>n,District,NA,Hoai an
80,250,VNM,Vietnam,9,Binh Ðinh,80,Hoài Nhon,Huy<U+1EC7>n,District,NA,Hoai Nhon
81,250,VNM,Vietnam,9,Binh Ðinh,81,Phù Cát,Huy<U+1EC7>n,District,NA,Phu Cat
82,250,VNM,Vietnam,9,Binh Ðinh,82,Phù M<U+1EF9>,Huy<U+1EC7>n,District,NA,Phu My
83,250,VNM,Vietnam,9,Binh Ðinh,83,Qui Nhon,Than Pho,City,NA,Quy Nhon |Qui Nhon
84,250,VNM,Vietnam,9,Binh Ðinh,84,Tây Son,Huy<U+1EC7>n,District,NA,Tay Son
